aX,aY,aZ,gX,gY,gZ
0.891,0.919,0.308,-104.187,87.585,-150.146
0.857,0.872,0.304,-109.314,92.224,-158.325
0.809,0.822,0.304,-112.915,93.323,-166.748
0.744,0.780,0.270,-116.272,92.712,-176.392
0.696,0.714,0.282,-117.737,89.844,-186.646
0.623,0.635,0.257,-118.652,84.839,-195.312
0.608,0.567,0.236,-119.812,84.045,-201.721
0.581,0.511,0.229,-120.544,84.229,-206.787
0.525,0.464,0.224,-119.995,86.670,-209.595
0.487,0.393,0.250,-122.559,91.125,-210.388
0.460,0.324,0.237,-127.930,92.163,-210.815
0.425,0.268,0.198,-131.958,90.332,-211.914
0.404,0.219,0.135,-132.446,87.646,-212.952
0.375,0.180,0.114,-130.127,85.876,-213.074
0.331,0.120,0.110,-129.456,81.299,-212.952
0.325,0.103,0.108,-131.104,74.341,-214.050
0.309,0.019,0.124,-131.897,67.383,-212.524
0.269,-0.026,0.155,-131.897,61.646,-210.999
0.279,-0.055,0.207,-130.920,57.983,-211.060
0.279,-0.136,0.239,-129.944,55.420,-209.656
0.252,-0.193,0.251,-130.920,56.824,-207.214
0.292,-0.209,0.252,-132.141,62.134,-203.674
0.214,-0.261,0.186,-132.080,65.796,-199.219
0.182,-0.279,0.123,-131.226,68.481,-198.425
0.154,-0.298,0.084,-129.028,67.627,-200.134
0.159,-0.329,0.057,-127.625,62.988,-201.111
0.157,-0.412,0.069,-127.930,55.969,-199.707
0.173,-0.433,0.102,-132.812,47.729,-196.777
0.141,-0.499,0.096,-139.221,40.894,-190.247
0.163,-0.561,0.111,-142.944,40.527,-185.242

-0.242,-2.012,0.544,-65.063,18.433,-110.535
-0.297,-2.054,0.549,-48.645,17.273,-95.093
-0.392,-2.113,0.547,-37.781,17.944,-76.904
-0.438,-2.161,0.519,-29.846,18.250,-58.228
-0.466,-2.194,0.487,-21.057,17.639,-37.720
-0.474,-2.213,0.450,-10.315,13.794,-14.587
-0.456,-2.187,0.408,1.709,5.737,8.972
-0.400,-2.111,0.376,15.503,-4.089,33.569
-0.304,-1.972,0.356,29.724,-14.099,57.251
-0.223,-1.828,0.330,42.053,-22.278,78.735
-0.171,-1.693,0.315,51.819,-27.649,97.229
-0.125,-1.584,0.316,57.556,-31.860,112.610
-0.095,-1.502,0.306,59.509,-37.231,123.657
