aX,aY,aZ,gX,gY,gZ
0.632,0.008,0.935,3.967,52.917,35.217
0.628,0.029,0.859,17.883,48.645,35.828
0.691,0.063,0.801,31.555,40.649,38.757
0.688,0.167,0.843,42.236,30.823,44.373
0.752,0.242,0.861,48.584,22.705,47.913
0.850,0.285,0.891,49.622,17.456,47.241
0.954,0.293,0.890,48.828,14.526,44.250
1.083,0.267,0.854,48.279,14.160,39.856
1.128,0.271,0.810,48.157,15.564,35.583
1.124,0.297,0.744,49.377,17.334,30.701
1.072,0.378,0.680,47.791,16.968,23.437
1.001,0.446,0.643,41.931,13.916,12.695
0.977,0.448,0.614,30.212,9.521,0.854
0.950,0.415,0.602,12.146,4.211,-10.193
0.954,0.333,0.603,-3.784,-2.747,-19.409
0.935,0.237,0.630,-13.916,-11.230,-26.794
0.873,0.147,0.687,-18.372,-19.531,-31.555
0.807,0.102,0.768,-21.667,-26.184,-33.569
0.733,0.074,0.863,-24.841,-30.945,-35.706
0.675,0.038,0.958,-27.893,-32.715,-37.598
0.679,-0.006,1.035,-31.799,-32.471,-38.147
0.729,-0.058,1.076,-33.325,-31.616,-37.476
0.834,-0.120,1.089,-32.104,-31.677,-35.828
0.984,-0.140,1.103,-30.396,-32.959,-32.776
1.157,-0.120,1.112,-25.940,-35.461,-29.358
1.356,-0.084,1.083,-17.761,-39.001,-28.687
1.541,-0.039,1.011,-7.202,-42.542,-29.724
1.657,0.047,0.929,4.150,-47.668,-29.358
1.690,0.128,0.868,15.442,-55.237,-30.334
1.708,0.158,0.842,19.714,-64.087,-36.316
1.684,0.176,0.873,15.320,-73.547,-45.227
1.630,0.172,0.968,7.202,-84.839,-54.626
1.577,0.152,1.081,0.244,-95.703,-64.331
1.517,0.106,1.193,-0.366,-100.769,-74.768
1.461,0.076,1.220,7.141,-97.046,-84.473
1.392,0.102,1.161,23.071,-86.060,-91.736
1.306,0.156,1.019,43.396,-70.251,-101.196
1.130,0.203,0.867,63.354,-53.894,-109.741
0.811,0.352,0.627,75.195,-37.842,-114.624
0.307,0.597,0.355,82.764,-20.081,-114.441
-0.096,0.890,0.088,93.628,-1.465,-112.000
-0.820,1.298,-0.051,109.070,8.301,-103.943
-1.622,1.791,-0.194,122.253,12.817,-98.145
-2.402,2.135,-0.211,114.319,20.569,-96.802
-3.351,2.159,-0.081,65.674,34.180,-99.609
-4.000,1.761,0.053,-26.062,37.109,-115.417
-4.000,0.991,-0.123,-124.390,16.785,-163.879
-4.000,-0.204,-0.001,-164.368,-42.847,-231.323
-4.000,-1.418,0.468,-155.396,-139.832,-271.423
-3.030,-2.166,1.342,-165.283,-238.586,-230.347
-1.899,-2.083,2.407,-200.806,-299.683,-96.130
-1.301,-1.460,3.300,-206.116,-283.936,66.833

-0.682,-0.152,3.177,-48.279,-87.341,134.460
-0.580,-0.043,2.613,78.125,38.940,79.529
-0.860,0.037,1.884,162.781,126.831,46.753
-0.989,0.283,1.074,181.213,179.260,50.903
-1.119,0.563,0.524,152.649,199.402,71.167
-1.259,0.729,0.291,93.018,177.124,84.351
-1.189,0.688,0.377,21.179,132.874,84.656
-1.047,0.540,0.608,-43.762,92.651,78.308
-0.852,0.363,0.808,-80.688,74.463,70.007
-0.818,0.212,0.948,-88.257,71.228,62.500
-0.785,0.180,1.009,-76.721,75.439,62.744
-0.752,0.225,1.009,-51.636,77.515,66.406
-0.691,0.293,0.955,-20.813,73.547,66.223
-0.646,0.376,0.901,10.193,64.880,62.073
-0.588,0.393,0.876,36.072,51.941,56.396
-0.543,0.336,0.874,50.598,39.795,51.819
-0.531,0.266,0.869,48.279,33.630,49.683
-0.535,0.167,0.846,30.396,33.936,51.147
-0.497,0.083,0.802,3.601,39.795,56.213
-0.424,0.057,0.748,-20.630,46.204,65.063
-0.349,0.082,0.735,-33.020,46.875,73.730
-0.300,0.131,0.770,-30.640,38.818,79.102
-0.228,0.173,0.824,-17.883,26.184,78.552
-0.053,0.204,0.878,-1.343,15.076,73.059
0.027,0.239,0.914,12.207,5.737,67.871
0.037,0.230,1.001,18.188,5.066,64.453
0.127,0.161,1.003,12.329,16.235,59.814
0.176,0.123,0.939,-3.967,28.076,56.702
0.211,0.087,0.878,-19.714,39.734,55.359
0.219,0.070,0.775,-29.358,49.011,54.443
0.183,0.051,0.716,-31.128,52.917,52.246
0.139,0.065,0.711,-30.823,52.856,52.307
0.196,0.098,0.700,-31.738,46.692,54.443
0.255,0.167,0.728,-26.794,33.508,56.519
0.322,0.235,0.783,-15.564,17.944,57.800
0.443,0.286,0.838,-4.700,3.967,58.716
0.516,0.339,0.907,5.127,-3.967,58.167
0.568,0.363,0.957,12.268,-6.042,54.077
0.641,0.328,0.986,11.108,-1.953,45.410
0.630,0.291,0.996,2.686,7.385,35.400
0.547,0.218,0.965,-6.592,19.775,26.245
0.365,0.171,0.966,-14.954,32.043,15.930
0.279,0.091,0.870,-22.156,39.673,6.104
0.297,-0.014,0.830,-23.743,39.551,1.343
