aX,aY,aZ,gX,gY,gZ
-0.082,0.268,1.149,18.311,-19.714,2.319
-0.073,0.253,1.063,14.954,-14.771,0.488
-0.052,0.222,0.981,12.878,-14.465,-2.014
-0.037,0.186,0.896,12.329,-17.639,-3.174
-0.007,0.323,0.968,14.526,-26.306,-3.540
0.003,0.583,1.609,46.387,-34.851,-10.315
-0.000,0.176,1.781,106.628,-28.442,-17.578
-0.195,-0.169,1.805,60.486,-24.231,-11.841
0.049,0.044,1.144,-16.724,-0.732,-5.371
0.035,0.182,1.003,-24.536,14.160,7.385
0.002,0.203,0.981,-8.484,12.085,17.761
0.019,0.217,1.094,-0.671,10.498,12.939
-0.059,0.165,1.378,14.099,6.775,10.803
-0.141,0.174,1.678,27.710,10.681,11.902
-0.160,0.222,1.969,29.602,19.348,13.550
-0.233,0.292,2.289,19.348,28.503,14.221
-0.361,0.387,2.672,13.000,40.710,11.963
-0.418,0.448,3.031,10.681,60.852,7.019
-0.448,0.438,3.280,1.892,90.393,-1.343
-0.492,0.336,3.393,-14.160,126.953,-10.742
-0.512,0.226,3.382,-35.034,165.771,-16.296
-0.492,0.182,3.136,-63.232,208.252,-20.752
-0.485,0.078,2.809,-88.745,249.451,-27.405
-0.494,-0.014,2.611,-96.497,275.696,-28.809
-0.480,-0.070,2.452,-92.102,296.021,-26.672
-0.516,-0.145,2.366,-82.886,314.697,-24.841
-0.555,-0.216,2.371,-70.313,329.590,-20.203
-0.610,-0.242,2.290,-67.566,346.985,-12.756
-0.722,-0.250,2.164,-74.707,368.103,-7.019
-0.948,-0.238,2.037,-82.581,384.583,-0.488
-0.824,-0.249,1.765,-97.839,405.945,7.263
-1.010,-0.233,1.530,-119.873,417.114,13.489
-0.944,-0.172,1.210,-132.446,440.125,8.484
-0.816,-0.259,0.834,-127.197,449.097,11.414
-1.095,-0.212,0.811,-135.254,434.937,-0.244
-1.048,-0.112,0.847,-152.466,423.035,9.888
-0.848,-0.135,0.598,-151.733,428.223,22.949
-0.939,-0.147,0.474,-153.687,431.152,19.531
